Name,Price
"Lenovo Ideapad S340 15.6"" Laptop, Windows 10, AMD Ryzen 5 3500U Quad-Core Processor, 8GB Memory, 128GB Storage, Abyss Blue - 81NC00BGUS",449
"HP 15 Silver Fusion Laptop 15.6"" , Intel Core i3-8130U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, DVD, 15-da0032wm",576
"Lenovo ideapad S340 13.3 Laptop, Intel Core i5-10210U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive",499
"onn. 14"" laptop, Intel Core i3, 4GB Ram, 128 SSD,1920 x 1080p FHD screen",365
"onn. 13.3"" 2-1 laptop, Intel Core i3, 4GB Ram, 128 SSD,1920 x 1080p FHD screen",395
"ASUS C423 14"" Celeron 4GB/64GB Chromebook, 14"" HD Nano-Edge Display, Intel Celeron N3350, 4GB DDR4, 64GB eMMC, Chrome OS, C423NA-WB04",269
"HP ENVY X360 Laptop 15.6"" FHD, Intel Core i7-8565U, 8GB SDRAM, 512GB SSD, 15-cn1073wm, Ash Silver",999
"HP 15.6"" Laptop, Intel Core i5-1035G1, 8GB SDRAM, 256GB SSD+16GB Optane, 15-dy1051wm",563
"HP 14 Laptop, Intel Celeron N4000, 4GB SDRAM, 64GB eMMC, Office 365 Personal 1-year (A $70 value included for free), Natural Silver",384
"MOTILE 14"" Performance Laptop, FHD, AMD Ryzen 3 with Radeon Vega 3 Graphics, THX Spatial Audio, Tuned by THX display, 4GB RAM, 128GB SSD, HDMI, Front 720P HD IR Camera",349
"HP 14 Laptop, Intel Core i5-1035G1, 8GB SDRAM, 256GB SSD + 16GB Intel Optane memory, Natural Silver, 14-dq1039wm",549
"HP Pavilion Laptop 15.6"" FHD, AMD Ryzen 5 3500U, AMD Radeon Vega 8, 8GB SDRAM, 1TB HDD+128GB SSD, 15-cw1068wm, Horizon Blue",649
"Omen by HP Gaming Laptop 15.6"", Intel Core i7-9750H, NVIDIA GTX 1660Ti 6GB, 16GB RAM, 256GB SSD, Omen Headset and Mouse Included ($100 Value), 15-dc1088wm","1,199"
"Refurbished Apple MacBook Pro 13.3"" Laptop LED Intel i5 3210M 2.5GHz 4GB 500GB - MD101LLA",539
"HP Stream 14"" Celeron 4GB/64GB Laptop-Blue",219
"Acer Chromebook 715, 8th Gen Intel Core i3-8130U, 15.6"" Full-HD Touchscreen, 4GB DDR4, 128GB eMMC - CB715-1WT-39HZ",369
"Apple MacBook Air 13.3 Inch Laptop MJVE2LL/A Intel Core i5 1.6GHz, 4GB RAM, 128GB SSD (Scratch and Dent Refurbished)",599
"HP 15.6"" Touchscreen, Intel Core i3-8145U, 8GB SDRAM, 1TB HDD, 15-dw0038wm Ghost Silver",694
Refurbished Apple MacBook Air MD711LL/B 11.6-Inch Laptop (NEWEST VERSION),549
"Dell Inspiron 14 3493 Laptop, 14"", Intel Core i3-1005G1, 4GB RAM, 128GB SSD, Intel ICL-U UHD Graphics, Windows 10, i3493-3464BLK-PUS",349
"HP 15.6"" i3 8GB/256GB Laptop-Silver",399
"HP 15.6"" Pentium 4GB/500GB Laptop-Scarlet Red",349
"Dell G5 Gaming Laptop 15.6"" Full HD, Intel Core i7-8750H, NVIDIA GeForce GTX 1050 Ti 4GB, 1TB HDD + 128GB SSD Storage, 8GB RAM, G5587-7037RED-PUS",949
"Dell Inspiron 14 5481 2-in-1 Touchscreen Laptop, 14'', Intel Core i3-8145U, 8GB RAM, 256 GB SSD, Intel UHD Graphics 620, Windows 10 Home, i5481-3083GRY-PUS",649
"Grade A Refurbished Apple Silver 13.3"" MacBook Pro with Intel Core i5-3210M Processor, 4GB Memory, 500GB Hard Drive and Mac OS X 10.10.5",488
"Apple MacBook Pro MGX72LL/A, 13.3-inch Laptop, 2.6GHz Intel Core i5 Processor, 8GB RAM, 128GB SSD (Certified Refurbished)",509
"EVOO Gaming Laptop 15"" FHD 144Hz Display, THX Spatial Audio, Tuned by THX Display, 9th Gen Intel i7-9750H, Nvidia GTX 1660Ti, 512GB SSD, 16GB Memory, Windows 10 Home, Black",949
"Apple MacBook Pro 13.3"" Intel Dual Core i5 2.5GHz 4GB 500GB Laptop - MD101LLAn (Certified Refurbished)",409
